clock, output
1300008,0
1300016,0
1300024,0
1300032,0
1300040,0
1300048,0
1300056,0
1300064,0
1300072,0
1300080,0
1300088,0
1300096,0
1300104,0
1300112,0
1300120,0
1300128,0
1300136,0
1300144,0
1300152,2
1300160,1
1300168,1
1300176,1
1300184,2
1300192,6
1300200,9
1300208,12
1300216,8
1300224,14
1300232,16
1300240,21
1300248,23
1300256,27
1300264,14
1300272,25
1300280,37
1300288,39
1300296,49
1300304,35
1300312,40
1300320,44
1300328,44
1300336,43
1300344,59
1300352,58
1300360,56
1300368,65
1300376,61
1300384,85
1300392,82
1300400,84
1300408,94
1300416,90
1300424,93
1300432,100
1300440,98
1300448,121
1300456,136
1300464,129
1300472,136
1300480,121
1300488,139
1300496,138
1300504,161
1300512,154
1300520,152
1300528,159
1300536,161
1300544,187
1300552,191
1300560,191
1300568,176
1300576,186
1300584,182
1300592,183
1300600,183
1300608,184
1300616,190
1300624,159
1300632,155
1300640,157
1300648,200
1300656,193
1300664,159
1300672,159
1300680,156
1300688,162
1300696,165
1300704,154
1300712,158
1300720,150
1300728,130
1300736,130
1300744,134
1300752,132
1300760,132
1300768,154
1300776,129
1300784,129
1300792,129
1300800,103
1300808,118
1300816,112
1300824,91
1300832,91
1300840,68
1300848,75
1300856,67
1300864,65
1300872,63
1300880,60
1300888,57
1300896,62
1300904,38
1300912,50
1300920,39
1300928,50
1300936,43
1300944,26
1300952,24
1300960,22
1300968,27
1300976,30
1300984,23
1300992,14
1301000,23
1301008,12
1301016,12
1301024,14
1301032,7
1301040,8
1301048,4
1301056,4
1301064,2
1301072,3
1301080,0
1301088,0
1301096,1
1301104,0
1301112,0
1301120,0
1301128,0
1301136,0
1301144,0
1301152,0
1301160,0
1301168,0
1301176,0
1301184,0
1301192,0
1301200,0
1301208,0
1301216,0
1301224,0
1301232,0
1301240,0
1301248,0
1301256,0
1301264,0
1301272,0
1301280,0
1301288,0
1301296,0
1301304,0
1301312,0
1301320,0
1301328,0
1301336,0
1301344,0
1301352,0
1301360,0
1301368,0
1301376,0
1301384,0
1301392,0
1301400,0
1301408,0
1301416,0
1301424,0
1301432,2
1301440,2
1301448,0
1301456,1
1301464,8
1301472,5
1301480,6
1301488,11
1301496,8
1301504,11
1301512,13
1301520,16
1301528,23
1301536,27
1301544,24
1301552,21
1301560,25
1301568,49
1301576,49
1301584,52
1301592,40
1301600,40
1301608,45
1301616,43
1301624,45
1301632,55
1301640,58
1301648,63
1301656,61
1301664,59
1301672,76
1301680,82
1301688,92
1301696,90
1301704,96
1301712,98
1301720,100
1301728,114
1301736,136
1301744,145
1301752,149
1301760,136
1301768,140
1301776,138
1301784,156
1301792,163
1301800,154
1301808,160
1301816,161
1301824,159
1301832,188
1301840,191
1301848,170
1301856,186
1301864,175
1301872,182
1301880,183
1301888,185
1301896,190
1301904,185
1301912,158
1301920,155
1301928,180
1301936,193
1301944,194
1301952,160
